t,O,R,I,Cap,demand,Sigma,Sigma_symbolic,S,V,C,intervention,delta_C,threshold_value,threshold_hit,cap_scale_used,demand_to_cap_ratio,S_is_observed,step
62,0.99,0.2749626928860144,0.01,2.7221306595715427,0.1526115719475076,0.0,0.0,0.0,1.0,24.778771372733985,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,62
63,0.8807444884012358,0.2381528550712455,0.01,2.0975181450101776,0.1531072850414107,0.0,0.0,0.0,1.0,24.658771372733987,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,63
64,0.99,0.2059602158697436,0.01,2.0390061371104617,0.153538007554618,0.0,0.0,0.0,1.0,24.538771372733986,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,64
65,0.586365755725244,0.1810811462287413,0.01,1.061797831560093,0.1541478826350401,0.0,0.0,0.0,1.0,24.418771372733985,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,65
66,0.99,0.1737141940171918,0.01,1.719770520770199,0.1544814945996381,0.0,0.0,0.0,1.0,24.298771372733988,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,66
67,0.99,0.17966447110078,0.01,1.7786782638977219,0.1547330981283201,0.0,0.0,0.0,1.0,24.178771372733987,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,67
68,0.318926690213336,0.1768249867182755,0.01,0.5639420776107671,0.1552796869818361,0.0,0.0,0.0,1.0,24.058771372733986,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,68
69,0.4785885750914538,0.1754370637741927,0.01,0.8396217436991938,0.1560521086735188,0.0,0.0,0.0,1.0,23.93877137273399,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,69
70,0.99,0.1673596108006785,0.01,1.656860146926717,0.1564903402946129,0.0,0.0,0.0,1.0,23.818771372733988,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,70
71,0.2403216070008246,0.1540240110561322,0.01,0.37015297853722473,0.1572576025417908,0.0,0.0,0.0,1.0,23.698771372733987,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,71
72,0.99,0.1590645811037405,0.01,1.574739352927031,0.1577054206943159,0.0,0.0,0.0,1.0,23.57877137273399,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,72
73,0.3204819131232341,0.154508622510516,0.01,0.4951721893620576,0.1584475505761476,0.0,0.0,0.0,1.0,23.45877137273399,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,73
74,0.99,0.1381229846917031,0.01,1.3674175484478608,0.1590841250926124,0.0,0.0,0.0,1.0,23.33877137273399,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,74
75,0.99,0.1257158404919354,0.01,1.2445868208701605,0.1596424988110828,0.0,0.0,0.0,1.0,23.21877137273399,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,75
76,0.8279831095909762,0.1079997240099375,0.01,0.8942194732071527,0.1602753761954068,0.0,0.0,0.0,1.0,23.098771372733992,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,76
77,0.99,0.1055897520034631,0.01,1.0453385448342847,0.1605919631582898,0.0,0.0,0.0,1.0,22.978771372733995,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,77
78,0.6133324109805929,0.1088983477509223,0.01,0.667908861778762,0.1610760229360823,0.0,0.0,0.0,1.0,22.858771372733994,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,78
79,0.99,0.116566985862103,0.01,1.1540131600348198,0.1612626337731959,0.0,0.0,0.0,1.0,22.738771372733993,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,79
80,0.99,0.1334289214718221,0.01,1.3209463225710385,0.1614123910287946,0.0,0.0,0.0,1.0,22.618771372733995,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,80
81,0.01,0.1563422923632629,0.01,0.01563422923632629,0.1620445939402783,0.146410364703952,0.146410364703952,0.0,0.0,22.618771372733995,real,0.0,-0.04634210756667259,0,1000.0,0.9,True,81
82,0.99,0.1628512634906853,0.01,1.6122275085577846,0.1624866387152956,0.0,0.0,0.0,1.0,22.498771372733998,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,82
83,0.5226643322975266,0.1724518720501408,0.01,0.9013444255854532,0.1631354263107535,0.0,0.0,0.0,1.0,22.378771372733997,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,83
84,0.99,0.1780736665894194,0.01,1.7629292992352519,0.1636285842668578,0.0,0.0,0.0,1.0,22.258771372733996,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,84
85,0.99,0.1880566655123998,0.01,1.861760988572758,0.1639608609079634,0.0,0.0,0.0,1.0,22.138771372734,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,85
86,0.01,0.1807795541404069,0.01,0.01807795541404069,0.1649485877619566,0.1468706323479159,0.1468706323479159,0.0,0.0,22.138771372734,real,0.0,-0.04634210756667259,0,1000.0,0.9,True,86
87,0.99,0.1660133121638692,0.01,1.6435317904223048,0.1656659529610915,0.0,0.0,0.0,1.0,22.018771372734,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,87
88,0.99,0.1561409902649517,0.01,1.545795803623022,0.1661686071097025,0.0,0.0,0.0,1.0,21.898771372734,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,88
89,0.99,0.1447883726413308,0.01,1.4334048891491749,0.1666452012910495,0.0,0.0,0.0,1.0,21.778771372734,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,89
90,0.3264136820074282,0.131305468314968,0.01,0.428599013803984,0.1674135380439545,0.0,0.0,0.0,1.0,21.658771372734,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,90
91,0.99,0.1356161486430134,0.01,1.342599871565833,0.1678298731602676,0.0,0.0,0.0,1.0,21.538771372734004,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,91
92,0.2373295198086182,0.1315340254406209,0.01,0.31216907096317126,0.1685765348304299,0.0,0.0,0.0,1.0,21.418771372734003,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,92
93,0.99,0.1162048893328606,0.01,1.15042840439532,0.169168458404459,0.0,0.0,0.0,1.0,21.298771372734002,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,93
94,0.99,0.1183001735289245,0.01,1.1711717179363526,0.1694080661923566,0.0,0.0,0.0,1.0,21.178771372734005,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,94
95,0.147143549303513,0.1076414463549937,0.01,0.15838744468837468,0.1700170617297524,0.011629617041377716,0.011629617041377716,0.0,0.9118898572484677,21.069344589864187,real,-0.10942678286981611,-0.04634210756667259,0,1000.0,0.9,True,95
96,0.8442885006896731,0.09469026741923,0.01,0.7994590390928591,0.1706934987694716,0.0,0.0,0.0,1.0,20.94934458986419,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,96
97,0.99,0.0720602828373034,0.01,0.7133968000893035,0.1712686238022235,0.0,0.0,0.0,1.0,20.829344589864192,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,97
98,0.8263404546325697,0.0408265546605133,0.01,0.3373663373925002,0.171918963964778,0.0,0.0,0.0,1.0,20.70934458986419,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,98
99,0.8291568131371474,0.01,0.01,0.08291568131371474,0.1726432994406831,0.08972761812696836,0.08972761812696836,0.0,0.0,20.70934458986419,real,0.0,-0.04634210756667259,0,1000.0,0.9,True,99
100,0.99,0.01,0.01,0.099,0.1730350677123652,0.0740350677123652,0.0740350677123652,0.0,0.10260524891471223,20.697031959994426,real,-0.01231262986976489,-0.04634210756667259,0,1000.0,0.9,True,100
101,0.01,0.01,0.01,0.0010000000000000002,0.1739177164384435,0.1729177164384435,0.1729177164384435,0.0,0.0,20.697031959994426,real,0.0,-0.04634210756667259,1,1000.0,0.9,True,101
102,0.99,0.01,0.01,0.099,0.1744274094495103,0.07542740944951029,0.07542740944951029,0.0,0.08572837954403312,20.68674455444914,real,-0.0102874055452844,-0.04634210756667259,0,1000.0,0.9,True,102
103,0.721306391795201,0.01,0.01,0.0721306391795201,0.1750578097667717,0.1029271705872516,0.1029271705872516,0.0,0.0,20.68674455444914,real,0.0,-0.04634210756667259,0,1000.0,0.9,True,103
104,0.99,0.01,0.01,0.099,0.1752578431281648,0.0762578431281648,0.0762578431281648,0.0,0.07566251687413861,20.677665052424246,real,-0.009079502024896158,-0.04634210756667259,0,1000.0,0.9,True,104
105,0.01,0.01,0.01,0.0010000000000000002,0.1759211916911175,0.1749211916911175,0.1749211916911175,0.0,0.0,20.677665052424246,real,0.0,-0.04634210756667259,0,1000.0,0.9,True,105
106,0.99,0.01,0.01,0.099,0.1765336813225523,0.07753368132255228,0.07753368132255228,0.0,0.06019781164383298,20.670441315026984,real,-0.007223737397259455,-0.04634210756667259,0,1000.0,0.9,True,106
107,0.99,0.01,0.01,0.099,0.1769137503367665,0.07791375033676651,0.07791375033676651,0.0,0.05559091454837661,20.66377040528118,real,-0.006670909745805531,-0.04634210756667259,0,1000.0,0.9,True,107
108,0.4761993359012304,0.01,0.01,0.047619933590123044,0.1775206870124015,0.12990075342227847,0.12990075342227847,0.0,0.0,20.66377040528118,real,0.0,-0.04634210756667259,0,1000.0,0.9,True,108
109,0.99,0.01,0.01,0.099,0.1780966484944319,0.0790966484944319,0.0790966484944319,0.0,0.0412527552063533,20.65882007465642,real,-0.004950330624762245,-0.04634210756667259,0,1000.0,0.9,True,109
110,0.793792920079659,0.01,0.01,0.0793792920079659,0.1787619220396122,0.0993826300316463,0.0993826300316463,0.0,0.0,20.65882007465642,real,0.0,-0.04634210756667259,0,1000.0,0.9,True,110
111,0.99,0.01,0.01,0.099,0.1793769153900285,0.0803769153900285,0.0803769153900285,0.0,0.025734368749812497,20.65573195040644,real,-0.0030881242499773975,-0.04634210756667259,0,1000.0,0.9,True,111
112,0.99,0.01,0.01,0.099,0.1797658317629798,0.0807658317629798,0.0807658317629798,0.0,0.021020230943474938,20.653209522693224,real,-0.002522427713216757,-0.04634210756667259,0,1000.0,0.9,True,112
113,0.7470949442325499,0.01,0.01,0.07470949442325499,0.1802642859477286,0.1055547915244736,0.1055547915244736,0.0,0.0,20.653209522693224,real,0.0,-0.04634210756667259,0,1000.0,0.9,True,113
114,0.99,0.01,0.01,0.099,0.1804503609024769,0.0814503609024769,0.0814503609024769,0.0,0.012722908124291221,20.65168277371831,real,-0.0015267489749142271,-0.04634210756667259,0,1000.0,0.9,True,114
115,0.2890631819101293,0.01,0.01,0.028906318191012935,0.1809443556144777,0.15203803742346475,0.15203803742346475,0.0,0.0,20.65168277371831,real,0.0,-0.04634210756667259,0,1000.0,0.9,True,115
116,0.99,0.0257277720336083,0.01,0.2547049431327222,0.1813431893275662,0.0,0.0,0.0,1.0,20.53168277371831,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,116
117,0.3449206493813535,0.0418721972539657,0.01,0.14442585467861976,0.1820257499056743,0.037599895227054536,0.037599895227054536,0.0,0.6875914353392001,20.449171801477608,real,-0.08251097224070314,-0.04634210756667259,0,1000.0,0.9,True,117
118,0.8853469351766472,0.0638583084897375,0.01,0.5653675770695398,0.1827579688261136,0.0,0.0,0.0,1.0,20.329171801477607,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,118
119,0.99,0.0816001942493814,0.01,0.8078419230688759,0.1833657456623208,0.0,0.0,0.0,1.0,20.20917180147761,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,119
120,0.99,0.1092523807877998,0.01,1.081598569799218,0.1835290977761214,0.0,0.0,0.0,1.0,20.08917180147761,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,120
121,0.0198490461629738,0.1333786346428295,0.01,0.026474386761799397,0.184116971220224,0.1576425844584246,0.1576425844584246,0.0,0.0,20.08917180147761,real,0.0,-0.04634210756667259,0,1000.0,0.9,True,121
122,0.99,0.1615825540964478,0.01,1.5996672855548335,0.1844153129067509,0.0,0.0,0.0,1.0,19.96917180147761,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,122
123,0.3620534386790781,0.1788579404482969,0.01,0.6475613237436365,0.1849899609334526,0.0,0.0,0.0,1.0,19.84917180147761,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,123
