t,O,R,I,demand,Cap,Sigma,S,C,delta_C,V,intervention,threshold_hit
60,0.76,0.7100000000000001,0.7400000000000001,1.44,0.8784688000000003,0.5615311999999997,1.5657156824203098,3.1372941009551947,0.07864971903562035,1.0,none,0
61,0.761,0.7110000000000001,0.7410000000000001,1.444,0.8820539442000004,0.5619460557999996,1.5793570532359036,3.2163690536445726,0.07907495268937792,1.0,none,0
62,0.762,0.7120000000000001,0.7420000000000001,1.448,0.8856488256000002,0.5623511743999997,1.5927580061231854,3.295852688743741,0.07948363509916856,1.0,none,0
63,0.763,0.7130000000000001,0.7430000000000001,1.452,0.8892534574000003,0.5627465425999997,1.6059225694087216,3.375728779464546,0.0798760907208047,1.0,none,0
64,0.764,0.7140000000000001,0.7440000000000001,1.456,0.8928678528000004,0.5631321471999996,1.618854689796547,3.455981416955016,0.08025263749046996,1.0,none,0
65,0.765,0.7150000000000001,0.7450000000000001,1.46,0.8964920250000004,0.5635079749999996,1.631558234000616,3.5365950039102776,0.08061358695526177,1.0,none,0
66,0.766,0.7160000000000001,0.7460000000000001,1.464,0.9001259872000003,0.5638740127999997,1.6440369903446037,3.6175542483114023,0.08095924440112467,1.0,none,0
67,0.767,0.7170000000000001,0.7470000000000001,1.468,0.9037697526000004,0.5642302473999996,1.6562946703297114,3.698844157289628,0.08128990897822552,1.0,none,0
68,0.768,0.7180000000000001,0.7480000000000001,1.472,0.9074233344000002,0.5645766655999997,1.6683349101711171,3.7804500311134466,0.08160587382381879,1.0,none,0
69,0.769,0.7190000000000001,0.7490000000000001,1.476,0.9110867458000003,0.5649132541999997,1.6801612723036947,3.8623574572961012,0.08190742618265467,1.0,none,0
70,0.77,0.7200000000000001,0.7500000000000001,1.48,0.9147600000000005,0.5652399999999995,1.6578628468576209,3.867913612712485,0.005556155416383657,1.0,symbolic_cut,0
71,0.771,0.7210000000000001,0.7510000000000001,1.484,0.9184431102000002,0.5655568897999997,1.6360167277164683,3.8731142955646694,0.005200682852184446,1.0,symbolic_cut,0
72,0.772,0.7220000000000001,0.7520000000000001,1.488,0.9221360896000004,0.5658639103999996,1.614613671370139,3.877967929157398,0.004853633592728723,1.0,symbolic_cut,0
73,0.773,0.7230000000000001,0.7530000000000001,1.492,0.9258389514000004,0.5661610485999996,1.5936446189147362,3.8824827587953323,0.004514829637934259,1.0,symbolic_cut,0
74,0.774,0.7240000000000001,0.7540000000000001,1.496,0.9295517088000004,0.5664482911999996,1.5731006923604414,3.8866668553867623,0.004184096591429931,1.0,symbolic_cut,0
75,0.775,0.7250000000000001,0.7550000000000001,1.5,0.9332743750000004,0.5667256249999996,1.5529731910132325,3.890528118975027,0.003861263588264663,1.0,symbolic_cut,0
76,0.776,0.7260000000000001,0.7560000000000001,1.504,0.9370069632000004,0.5669930367999996,1.533253587928968,3.894074282199086,0.0035461632240592067,1.0,symbolic_cut,0
77,0.777,0.7270000000000001,0.7570000000000001,1.508,0.9407494866000005,0.5672505133999995,1.5139335264383884,3.8973129136846665,0.0032386314855803455,1.0,symbolic_cut,0
78,0.778,0.7280000000000001,0.7580000000000001,1.512,0.9445019584000004,0.5674980415999996,1.4950048167416206,3.9002514213673676,0.002938507682701097,1.0,symbolic_cut,0
79,0.779,0.7290000000000001,0.7590000000000001,1.516,0.9482643918000004,0.5677356081999996,1.4764594325707883,3.9028970557490927,0.0026456343817251593,1.0,symbolic_cut,0
80,0.78,0.7300000000000001,0.7600000000000001,1.52,0.9520368000000005,0.5679631999999996,1.4582895079193725,3.9052569130891377,0.0023598573400449574,1.0,symbolic_cut,0
81,0.781,0.7310000000000001,0.7610000000000001,1.524,0.9558191962000003,0.5681808037999997,1.440487333836985,3.9073379385312466,0.0020810254421088636,1.0,symbolic_cut,0
82,0.782,0.7320000000000001,0.7620000000000001,1.528,0.9596115936000004,0.5683884063999997,1.4230453552882454,3.909146929167914,0.0018089906366673958,1.0,symbolic_cut,0
83,0.783,0.7330000000000001,0.7630000000000001,1.532,0.9634140054000003,0.5685859945999997,1.4059561680744805,3.9106905370431915,0.0015436078752775195,1.0,symbolic_cut,0
84,0.784,0.7340000000000001,0.7640000000000001,1.536,0.9672264448000003,0.5687735551999997,1.3892125158169908,3.9119752720952303,0.0012847350520388545,1.0,symbolic_cut,0
85,0.785,0.7350000000000001,0.7650000000000001,1.54,0.9710489250000004,0.5689510749999996,1.372807287000651,3.9130075050397637,0.0010322329445333622,1.0,symbolic_cut,0
86,0.786,0.7360000000000001,0.7660000000000001,1.544,0.9748814592000005,0.5691185407999996,1.3567335120766377,3.9137934701957144,0.0007859651559507519,1.0,symbolic_cut,0
87,0.787,0.7370000000000001,0.7670000000000001,1.548,0.9787240606000003,0.5692759393999998,1.340984360623105,3.9143392682540825,0.0005457980583680744,1.0,symbolic_cut,0
88,0.788,0.7380000000000001,0.7680000000000001,1.552,0.9825767424000004,0.5694232575999997,1.325553138562643,3.914650868991252,0.00031160073716929304,1.0,symbolic_cut,0
89,0.789,0.7390000000000001,0.7690000000000001,1.556,0.9864395178000005,0.5695604821999996,1.3104332854353902,3.914734113927826,8.324493657418941e-05,1.0,symbolic_cut,0
90,0.79,0.7400000000000001,0.7700000000000001,1.56,0.9903124000000004,0.5696875999999996,1.2956183717266825,3.914594718934087,-0.00013939499373893938,1.0,symbolic_cut,0
91,0.791,0.7410000000000001,0.7710000000000001,1.564,0.9941954022000004,0.5698045977999997,1.2811020962481487,3.9142382767831387,-0.00035644215094832177,1.0,symbolic_cut,0
92,0.792,0.7420000000000001,0.7720000000000001,1.568,0.9980885376000004,0.5699114623999997,1.2668782835711856,3.9136702596527906,-0.0005680171303481529,1.0,symbolic_cut,0
93,0.793,0.7430000000000001,0.7730000000000001,1.572,1.0019918194000004,0.5700081805999997,1.252940881511762,3.912896021577203,-0.0007742380755875189,1.0,symbolic_cut,0
94,0.794,0.7440000000000001,0.7740000000000001,1.576,1.0059052608000005,0.5700947391999995,1.2392839586655267,3.9119208008492996,-0.0009752207279034586,1.0,symbolic_cut,0
95,0.795,0.7450000000000001,0.7750000000000001,1.58,1.0098288750000004,0.5701711249999997,1.225901701992216,3.9107497223749363,-0.001171078474363263,1.0,symbolic_cut,0
96,0.796,0.7460000000000001,0.7760000000000001,1.584,1.0137626752000004,0.5702373247999997,1.2127884144483718,3.909387799979787,-0.0013619223951493176,1.0,symbolic_cut,0
97,0.797,0.7470000000000001,0.7770000000000001,1.588,1.0177066746000003,0.5702933253999998,1.1999385126674043,3.907839938669899,-0.0015478613098878213,1.0,symbolic_cut,0
98,0.798,0.7480000000000001,0.7780000000000001,1.592,1.0216608864000005,0.5703391135999996,1.1873465246860562,3.9061109368468405,-0.0017290018230586846,1.0,symbolic_cut,0
99,0.799,0.7490000000000001,0.7790000000000001,1.596,1.0256253238000004,0.5703746761999997,1.175007087716335,3.9042054884783512,-0.001905448368489271,1.0,symbolic_cut,0
