t,O,R,I,demand,cases,deaths,popData2019,S
2020-07-17,2.587892933095896,-0.057965517779098086,0.00713288462633499,14.57812605,226,5,11455519.0,14.57812605
2020-07-18,2.6326741568300562,-0.06150703163128979,0.006860164356839338,15.73913849,274,2,11455519.0,15.73913849
2020-07-19,2.6888528220053836,-0.056178665175327325,0.006502426501545644,17.31043351,130,3,11455519.0,17.31043351
2020-07-20,2.7473535036169006,-0.058500681611517,0.006796209410654175,17.88657502,64,1,11455519.0,17.88657502
2020-07-21,2.8065941678191275,-0.059240664202226956,0.007001693762009431,18.23575169,443,2,11455519.0,18.23575169
2020-07-22,2.8766107493187465,-0.07001658149961898,0.008618074676104648,21.12518865,145,1,11455519.0,21.12518865
2020-07-23,2.939675743253916,-0.06306499393516951,0.009979581027032003,21.52674183,553,2,11455519.0,21.52674183
2020-07-24,3.0137177672679263,-0.07404202401401028,0.010370373615838702,25.15817921,439,2,11455519.0,25.15817921
2020-07-25,3.091770179967114,-0.07805241269918772,0.010596078315686874,27.90794551,496,5,11455519.0,27.90794551
2020-07-26,3.172097485201419,-0.08032730523430498,0.011620652205347248,31.12910031,229,1,11455519.0,31.12910031
2020-07-27,3.2543382196442985,-0.08224073444287949,0.012409206862144417,32.58691291,184,2,11455519.0,32.58691291
2020-07-28,3.339103506249071,-0.08476528660477234,0.012104292685708007,33.81776068,595,4,11455519.0,33.81776068
2020-07-29,3.4165823458831617,-0.07747883963409086,0.01181457797445673,37.05637431,685,1,11455519.0,37.05637431
2020-07-30,3.5063544746214323,-0.08977212873827067,0.013205723666629865,41.22903554,703,3,11455519.0,41.22903554
2020-07-31,3.5872927436231534,-0.08093826900172107,0.0166815174488546,45.09616718,635,2,11455519.0,45.09616718
2020-08-01,3.6646090501820265,-0.07731630655887312,0.01860707380922899,48.66649865,684,3,11455519.0,48.66649865
2020-08-02,3.7367736560409917,-0.07216460585896511,0.018251997053687186,52.24555954,309,2,11455519.0,52.24555954
2020-08-03,3.8067310785773283,-0.06995742253633663,0.01806120124995325,53.80812515,148,5,11455519.0,53.80812515
2020-08-04,3.8734455069379954,-0.0667144283606671,0.017023725179723614,54.54139616,794,3,11455519.0,54.54139616
2020-08-05,3.935125308914551,-0.06167980197655565,0.016172209362716572,57.60542146,814,5,11455519.0,57.60542146
2020-08-06,3.9955125008337253,-0.0603871919191743,0.015804156292559268,63.4454013,776,5,11455519.0,63.4454013
2020-08-07,4.047633598631085,-0.05212109779736007,0.014085748482518978,65.39206124,769,4,11455519.0,65.39206124
2020-08-08,4.095165205464383,-0.0475316068332976,0.013255208590356338,68.27276879,771,6,11455519.0,68.27276879
