t,O,R,I,Cap,demand,demande_env,Sigma,S,V,C,perturb_symbolic,intervention,delta_C,threshold_value,threshold_hit
46,0.5879083091217376,0.7012712766318736,0.738776368908708,304.58509320065116,267.1708728456597,267.1708728456597,0.0,0.1417520931758004,1.0,-2.848452583681735,0.0,none,-0.06329916272967973,-0.030783209563645837,0
47,0.5905322757722726,0.7013597932891481,0.7364413083388188,305.01601696528127,274.58340680679476,274.58340680679476,0.0,0.1414685889894488,1.0,-2.9118651480859556,0.0,none,-0.06341256440422072,-0.030783209563645837,0
48,0.5874203829428618,0.7049389264050927,0.7333923520182368,303.6944683783065,277.25067433977017,277.25067433977017,0.0,0.14118565181146991,1.0,-2.975390887361368,0.0,none,-0.06352573927541227,-0.030783209563645837,0
49,0.5885076342714902,0.7020389108974117,0.7339929050550734,303.2530285123706,281.09240257159297,281.09240257159297,0.0,0.14090328050784698,1.0,-3.0390295751582292,0.0,none,-0.06363868779686133,-0.030783209563645837,0
50,0.5894427848430139,0.7025609434455784,0.7358910984179954,304.7468382970968,275.59610358600605,275.59610358600605,0.0,0.14062147394683128,1.0,-3.1027809855794968,0.0,none,-0.06375141042126753,-0.030783209563645837,0
51,0.590115635419168,0.7023075203526106,0.7371547098700263,305.508350410486,267.19229598546053,267.19229598546053,0.0,0.1403402309989376,1.0,-3.166644893179922,0.0,none,-0.06386390760042504,-0.030783209563645837,0
52,0.5916991619369164,0.7012969172850335,0.7349734031239046,304.9822101419282,277.49163883988626,277.49163883988626,0.0,0.14005955053693975,1.0,-3.230621072965146,0.0,none,-0.0639761797852243,-0.030783209563645837,0
53,0.5950850730399637,0.7032202737082149,0.7339421034686993,307.137073447697,282.2121662311642,282.2121662311642,0.0,0.13977943143586588,1.0,-3.2947093003908,0.0,none,-0.06408822742565379,-0.030783209563645837,0
54,0.594176654800521,0.7029722347959423,0.7341211604551334,306.63484058535795,256.78678088622024,256.78678088622024,0.0,0.13949987257299415,1.0,-3.358909351361602,0.0,none,-0.06420005097080228,-0.030783209563645837,0
55,0.5945598843328459,0.7009130164183063,0.7327263632282229,305.3525465683643,262.6616525146901,262.6616525146901,0.0,0.13922087282784817,1.0,-3.423221002230463,0.0,none,-0.06431165086886104,-0.030783209563645837,0
56,0.5915267678965535,0.6990264876168634,0.7343775578188201,303.65989057771003,286.95346971819475,286.95346971819475,0.0,0.13894243108219248,1.0,-3.487644029797586,0.0,none,-0.06442302756712293,-0.030783209563645837,0
57,0.5914763576895145,0.70121006948399,0.7338495965250628,304.3635168416441,258.2149262848712,258.2149262848712,0.0,0.1386645462200281,1.0,-3.552178211309575,0.0,none,-0.06453418151198864,-0.030783209563645837,0
58,0.5917761909215573,0.7021013660102752,0.7329923634155476,304.54870428888756,276.5789678312235,276.5789678312235,0.0,0.13838721712758806,1.0,-3.6168233244585397,0.0,none,-0.06464511314896493,-0.030783209563645837,0
59,0.592921303416776,0.7003745508750078,0.730038695220419,303.1609727046386,271.03383347871375,271.03383347871375,0.0,0.1381104426933329,1.0,-3.6815791473812065,0.0,none,-0.0647558229226668,-0.030783209563645837,0
60,0.5924991823362352,0.699669224447297,0.7320131887260217,303.45858799388935,287.2511371067919,287.2511371067919,0.0,0.13783422180794622,1.0,-3.746445458658028,0.0,none,-0.06486631127682152,-0.030783209563645837,0
61,0.5916658883002676,0.7010669978536225,0.7338950509518756,304.41777958837235,279.837633967656,279.837633967656,0.0,0.13755855336433032,1.0,-3.811422037312296,0.0,none,-0.06497657865426776,-0.030783209563645837,0
62,0.593760860874527,0.7002885099135571,0.7353746636709022,305.7716593712444,291.9082818582813,291.9082818582813,0.0,0.13728343625760164,1.0,-3.8765086628092553,0.0,none,-0.06508662549695954,-0.030783209563645837,0
63,0.595368191993287,0.6990487225757231,0.7365900886587713,306.5624411290123,286.3551533802877,286.3551533802877,0.0,0.13700886938508644,1.0,-3.9417051150552207,0.0,none,-0.06519645224596538,-0.030783209563645837,0
64,0.5961061645660664,0.6979219211834374,0.7396762498248144,307.73162252109216,266.57445356165346,266.57445356165346,0.0,0.13673485164631627,1.0,-4.007011174396694,0.0,none,-0.06530605934147315,-0.030783209563645837,0
65,0.5971130146593782,0.6978895700345031,0.7372889183744594,307.24226027137917,286.63402912516483,286.63402912516483,0.0,0.13646138194302362,1.0,-4.072426621619484,0.0,none,-0.06541544722279014,-0.030783209563645837,0
66,0.5978087898467809,0.695555973680305,0.7384923750875831,307.0721267002537,272.78653756728363,272.78653756728363,0.0,0.13618845917913758,1.0,-4.137951237947829,0.0,none,-0.06552461632834472,-0.030783209563645837,0
67,0.5940032128424466,0.6941781634295051,0.7390194779825864,304.73029149907,279.4876463468895,279.4876463468895,0.0,0.1359160822607793,1.0,-4.203584805043517,0.0,none,-0.06563356709568868,-0.030783209563645837,0
68,0.5943343426527031,0.6942684934520411,0.7399594579968729,305.3277016736216,273.05567660158977,273.05567660158977,0.0,0.13564425009625775,1.0,-4.269327105005014,0.0,none,-0.06574229996149672,-0.030783209563645837,0
69,0.5966882518605877,0.694565776748468,0.7405473011018203,306.91186000858715,280.70206986615244,280.70206986615244,0.0,0.13537296159606524,1.0,-4.335177920366588,0.0,none,-0.065850815361574,-0.030783209563645837,0
70,0.5945739141799787,0.6931473229957684,0.7436044593298999,306.4597106859964,278.588221931837,278.588221931837,0.0,0.13510221567287312,1.0,-4.401137034097439,0.0,none,-0.06595911373085084,-0.030783209563645837,0
71,0.5940086820227484,0.6938302900533914,0.7426412148597769,306.0730534495373,277.767812237428,277.767812237428,0.0,0.13483201124152738,1.0,-4.467204229600828,0.0,none,-0.06606719550338891,-0.030783209563645837,0
72,0.5926769399127683,0.6943823276880697,0.7394858097551389,304.3312387844548,284.83420758329305,284.83420758329305,0.0,0.13456234721904434,1.0,-4.53337929071321,0.0,none,-0.06617506111238214,-0.030783209563645837,0
73,0.5916510241673743,0.6912198452940793,0.7390381263659648,302.2377190155277,268.986462935288,268.986462935288,0.0,0.13429322252460624,1.0,-4.599662001703368,0.0,none,-0.06628271099015759,-0.030783209563645837,0
74,0.5919558210045751,0.6889293440763831,0.7398330575655453,301.71556250859913,301.0627488691055,301.0627488691055,0.0,0.13402463607955703,1.0,-4.666052147271545,0.0,none,-0.06639014556817724,-0.030783209563645837,0
75,0.5893984855630885,0.6896047752277816,0.7392116198582445,300.4540488222993,271.9711323744406,271.9711323744406,0.0,0.1337565868073979,1.0,-4.7325495125485855,0.0,none,-0.06649736527704064,-0.030783209563645837,0
76,0.5857748674874139,0.6873027564518249,0.7401309389286498,297.98018062799406,267.87307173950825,267.87307173950825,0.0,0.13348907363378312,1.0,-4.799153883095072,0.0,none,-0.06660437054648671,-0.030783209563645837,0
77,0.5890453438485959,0.6858931616672822,0.7404799379829625,299.170313797607,292.78430781317593,292.78430781317593,0.0,0.13322209548651556,1.0,-4.865865044900466,0.0,none,-0.06671116180539371,-0.030783209563645837,0
78,0.58751422097576,0.6840854946803303,0.7404096778131724,297.5780213931356,267.462175661333,267.462175661333,0.0,0.13295565129554254,1.0,-4.932682784382249,0.0,none,-0.06681773948178282,-0.030783209563645837,0
79,0.5892025555360051,0.6843446464259255,0.7388961991886751,297.9359628306675,269.8430988064351,269.8430988064351,0.0,0.13268973999295144,1.0,-4.999606888385069,0.0,none,-0.0669241040028199,-0.030783209563645837,0
80,0.5944797490411625,0.6868881937740076,0.7333318609534286,299.44955420641935,268.3563724462066,268.3563724462066,0.0,0.13242436051296555,1.0,-5.066637144179882,0.0,none,-0.0670302557948137,-0.030783209563645837,0
81,0.5927295679972606,0.6881327188028179,0.7329853339921805,298.96757257864874,284.67177594118624,284.67177594118624,0.0,0.13215951179193963,1.0,-5.133773339463106,0.0,none,-0.0671361952832239,-0.030783209563645837,0
82,0.5945920391244984,0.6899135245877365,0.7333584761122336,300.8361795606541,270.4252408187987,270.4252408187987,0.0,0.13189519276835576,1.0,-5.201015262355764,0.0,none,-0.06724192289265751,-0.030783209563645837,0
83,0.5952723989822475,0.6925040841705741,0.7344272556519792,302.7518955224559,269.6064426232609,269.6064426232609,0.0,0.13163140238281906,1.0,-5.268362701402636,0.0,none,-0.06734743904687246,-0.030783209563645837,0
84,0.5978225682991852,0.6928883049086875,0.7342720255250359,304.1532908064129,267.2390652426017,267.2390652426017,0.0,0.13136813957805343,1.0,-5.335815445571415,0.0,none,-0.06745274416877844,-0.030783209563645837,0
85,0.596690583746253,0.6916162113492336,0.7286873112055281,300.71532147317083,278.89988259097436,278.89988259097436,0.0,0.13110540329889733,1.0,-5.403373284251856,0.0,none,-0.0675578386804414,-0.030783209563645837,0
86,0.5978235388851085,0.6911876701660754,0.7307792786823465,301.96403346669643,275.33855714598644,275.33855714598644,0.0,0.13084319249229953,1.0,-5.471036007254936,0.0,none,-0.06766272300307996,-0.030783209563645837,0
87,0.5985666738430477,0.6862381430669181,0.7303132468431253,299.98294546325906,274.29513777719495,274.29513777719495,0.0,0.13058150610731492,1.0,-5.53880340481201,0.0,none,-0.06776739755707428,-0.030783209563645837,0
88,0.6017860475066242,0.6899187328301531,0.7331649233345658,304.39795499524536,264.4111873230849,264.4111873230849,0.0,0.1303203430951003,1.0,-5.60667526757397,0.0,none,-0.06787186276195989,-0.030783209563645837,0
