t,O,R,I,demand,cases,deaths,popData2019
2020-07-24,3.0137177672679263,-0.07404202401401028,0.020349422993894306,25.15817921,439,2,11455519.0
2020-07-25,3.091770179967114,-0.07805241269918772,0.018470363057428107,27.90794551,496,5,11455519.0
2020-07-26,3.172097485201419,-0.08032730523430498,0.017275684439126637,31.12910031,229,1,11455519.0
2020-07-27,3.2543382196442985,-0.08224073444287949,0.01717654544972702,32.58691291,184,2,11455519.0
2020-07-28,3.339103506249071,-0.08476528660477234,0.016635594482513838,33.81776068,595,4,11455519.0
2020-07-29,3.4165823458831617,-0.07747883963409086,0.011224838449245045,37.05637431,685,1,11455519.0
2020-07-30,3.5063544746214323,-0.08977212873827067,0.011473707767011287,41.22903554,703,3,11455519.0
2020-07-31,3.5872927436231534,-0.08093826900172107,0.007742578699775349,45.09616718,635,2,11455519.0
2020-08-01,3.6646090501820265,-0.07731630655887312,0.006105437427343929,48.66649865,684,3,11455519.0
2020-08-02,3.7367736560409917,-0.07216460585896511,0.005038064291957189,52.24555954,309,2,11455519.0
2020-08-03,3.8067310785773283,-0.06995742253633663,0.005038064291957189,53.80812515,148,5,11455519.0
2020-08-04,3.8734455069379954,-0.0667144283606671,0.005038064291957189,54.54139616,794,3,11455519.0
2020-08-05,3.935125308914551,-0.06167980197655565,0.005038064291957189,57.60542146,814,5,11455519.0
2020-08-06,3.9955125008337253,-0.0603871919191743,0.005038064291957189,63.4454013,776,5,11455519.0
2020-08-07,4.047633598631085,-0.05212109779736007,0.006300340372903612,65.39206124,769,4,11455519.0
2020-08-08,4.095165205464383,-0.0475316068332976,0.007763153041106197,68.27276879,771,6,11455519.0
2020-08-09,4.1376230191688865,-0.04245781370450352,0.010275538541273388,70.6733584,304,2,11455519.0
2020-08-10,4.177247843639438,-0.03962482447055127,0.0108726288694041,71.32806466,122,5,11455519.0
2020-08-11,4.213901067109208,-0.03665322346977007,0.013200457927870612,70.78684082,873,11,11455519.0
2020-08-12,4.247632562100998,-0.03373149499179018,0.014892349862787757,73.21361869,718,13,11455519.0
2020-08-13,4.268347337594848,-0.020714775493850368,0.014853396077230796,73.50168945,609,11,11455519.0
2020-08-14,4.283228646302929,-0.014881308708080354,0.014633993084548713,72.68112427,669,12,11455519.0
2020-08-15,4.2926164817459584,-0.00938783544302968,0.016038786678964412,72.97792444,587,12,11455519.0
2020-08-16,4.295492993709947,-0.002876511963988193,0.019836208212661965,72.13117101,163,9,11455519.0
