date,O,R,I,demand,S,inflation_yoy_pct
1982-07-01,0.5029993964018744,0.5328168302649366,0.3292992648991903,6.55738,0.8555350320652058,6.55738
1982-08-01,0.49034871897616733,0.47455344550321193,0.26829436173736493,5.96529,0.8149717599613331,5.96529
1982-09-01,0.46591212181244074,0.3816627827237107,0.12797762485893366,4.94092,0.7252111760518557,4.94092
1982-10-01,0.45414452643859315,0.44555426627910355,0.20995260760339593,5.03212,0.7342044250531461,5.03212
1982-11-01,0.443740598652197,0.4601413145746155,0.16679266187389163,4.47761,0.6767344873895738,4.47761
1982-12-01,0.4283306706285342,0.46178553782362275,0.10719444467983653,3.82572,0.6017734545219062,3.82572
1983-01-01,0.4143442406615167,0.5187206107020423,0.15118178870968815,3.70763,0.5875423997542653,3.70763
1983-02-01,0.40168758941703964,0.5632768345291038,0.1725944983313532,3.48469,0.5602914564797439,3.48469
1983-03-01,0.3898275547544156,0.629338353539505,0.25261164283470394,3.59029,0.5732552449385773,3.59029
1983-04-01,0.38610794995359154,0.6137972105153622,0.38633021111962385,4.0,0.6224593312018546,4.0
1983-05-01,0.376986594029406,0.5853058217079365,0.3271852584736689,3.44108,0.554912610745734,3.44108
1983-06-01,0.35914168414191333,0.5114737311854641,0.19336076377948505,2.47423,0.43465464400990017,2.47423
1983-07-01,0.36738025984753386,0.565505175773084,0.24066850299238327,2.35897,0.4205502435346697,2.35897
1983-08-01,0.3910263440326079,0.6179337412166038,0.330279146987103,2.4565,0.43247752313264215,2.4565
1983-09-01,0.4370367508990611,0.6939761511937378,0.46066760667911477,2.76356,0.47047937360586134,2.76356
1983-10-01,0.48148578277146115,0.7024495724892339,0.5213662024851392,2.75229,0.46907577152605834,2.75229
1983-11-01,0.5276659767974508,0.7176652632003883,0.6576862898870709,3.16327,0.5203974234244312,3.16327
1983-12-01,0.5744901265044154,0.7206399185432084,0.8259699434274264,3.7871,0.5971369966261574,3.7871
1984-01-01,0.6171357934463192,0.6798364673154283,0.9602708138862776,4.29009,0.655892997660859,4.29009
1984-02-01,0.6518934208284336,0.6606644637962181,0.94378749229668,4.69388,0.699924843940414,4.69388
1984-03-01,0.6749219873955419,0.6507535397762514,0.8870974365206058,4.89297,0.720407734017386,4.89297
1984-04-01,0.6967106165821881,0.6583226912900564,0.9377774036812417,4.55466,0.6851043827219556,4.55466
1984-05-01,0.7289333626207906,0.6942538987702946,0.9604052106347907,4.33468,0.6609072850670726,4.33468
1984-06-01,0.7760879988861631,0.7958257634750826,0.9382395442762845,4.32596,0.6599294860686441,4.32596
1984-07-01,0.8137972738923491,0.8062063141225865,0.9228940314211392,4.30862,0.6579810530078616,4.30862
1984-08-01,0.8410187334188289,0.8151758646769706,0.9115099987998916,4.2957,0.656525801665555,4.2957
1984-09-01,0.8483093630350658,0.8463673415664217,0.9085781400113006,4.28287,0.6550777722412152,4.28287
1984-10-01,0.857895580522322,0.84575990125586,0.9055782873536797,4.26587,0.6531546663378455,4.26587
