t,z,O,R,I,demand,S
120,0.7983442550335564,0.25848926174496234,0.7218503355704606,0.9427939597315436,0.9738932885906039,0.5664503355704698
121,0.8280762281879188,0.4316100671140909,0.8886899328859068,0.9477885906040268,0.9805033557046978,0.5699986577181207
122,0.8586205973154356,0.5662234899328857,0.8261369127516837,0.9533093959731542,0.9864288590604026,0.5735080536912751
123,0.8907251677852346,0.5785818791946308,0.5174429530201374,0.9622127516778523,0.9911463087248321,0.576896644295302
124,0.9238916442953016,0.48136308724832416,0.5428523489932856,0.9492395973154366,0.9949295302013422,0.5802463087248322
125,0.9579635704697984,0.325900671140939,0.7765617449664437,0.9257899328859058,0.9979181208053691,0.5829348993288591
126,0.993796255033557,0.3890214765100668,0.693175838926175,0.9590778523489931,0.999379865771812,0.5784167785234899
127,1.0307938053691272,0.3519140939597325,0.706383892617449,0.9495583892617453,0.9998469798657719,0.5783744966442953
128,1.0688008120805363,0.2496973154362414,0.7762167785234919,0.9126449664429527,0.9994590604026846,0.5816255033557047
129,1.1087941543624156,0.2623879194630871,0.6548255033557062,0.9302523489932883,0.9974657718120806,0.5848147651006711
130,1.1500649731543617,0.2928932885906034,0.697187248322145,0.9418838926174495,0.9943449664429531,0.5879664429530201
131,1.1924612751677843,0.33849127516778366,0.8513912751677866,0.9482906040268457,0.9902416107382552,0.5910852348993287
132,1.2370983154362407,0.4059973154362403,0.7901973154362428,0.9448355704697987,0.9843281879194632,0.594141610738255
133,1.2831361946308713,0.46685906040268327,0.7644026845637584,0.9380583892617452,0.9773073825503358,0.5971610738255033
134,1.3304291744966434,0.5131067114093977,0.7731221476510051,0.9292879194630872,0.9692932885906042,0.6001476510067113
135,1.3802494295302008,0.3845395973154376,0.8983006711409384,0.9330087248322148,0.9592604026845638,0.6030711409395973
136,1.4316045167785232,0.2419832214765112,0.8066456375838946,0.9328879194630872,0.9480677852348994,0.605958389261745
137,1.484358711409396,0.09602416107382528,0.5485053691275165,0.9296409395973154,0.9358228187919464,0.6085255033557048
