t,O,R,I,Cap,demand,Sigma,Sigma_symbolic,S,V,C,intervention,delta_C,threshold_value,threshold_hit,cap_scale_used,demand_to_cap_ratio,S_is_observed,step
167,0.2524115880903225,0.4265300546384745,0.6789681905487821,73.09848158262022,0.7475884119096775,0.0,0.0,0.0,1.0,14.234796478591328,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,167
168,0.2535256299300161,0.4327264176260041,0.6917074153350818,75.88530977490943,0.7464743700699839,0.0,0.0,0.0,1.0,14.114796478591327,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,168
169,0.2902917511021178,0.4477534064992435,0.7076335904058427,91.97759167093211,0.7097082488978822,0.0,0.0,0.0,1.0,13.994796478591326,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,169
170,0.2835268546950718,0.4615808816519026,0.7184853176071948,94.02858704820206,0.7164731453049282,0.0,0.0,0.0,1.0,13.874796478591325,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,170
171,0.3210802612470884,0.4760082193155671,0.7394736621334931,113.01882030798072,0.6789197387529116,0.0,0.0,0.0,1.0,13.754796478591324,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,171
172,0.3145064457432788,0.4897473032818439,0.7503200444155745,115.57080877069234,0.6854935542567212,0.0,0.0,0.0,1.0,13.634796478591323,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,172
173,0.3122403154289501,0.5017302519895348,0.761277100531823,119.26198432317027,0.6877596845710499,0.0,0.0,0.0,1.0,13.514796478591322,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,173
174,0.2547259025586305,0.5067869996524581,0.7582242109205655,97.88050991163124,0.7452740974413695,0.0,0.0,0.0,1.0,13.39479647859132,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,174
175,0.2769106977289409,0.517278867765463,0.7608850271683057,108.98921100474256,0.723089302271059,0.0,0.0,0.0,1.0,13.27479647859132,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,175
176,0.3264161754472429,0.5216439310296367,0.752709296615185,128.16608279234646,0.6735838245527571,0.0,0.0,0.0,1.0,13.154796478591319,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,176
177,0.3622442273659872,0.5275025980642927,0.7328272919697365,140.03213531940926,0.6377557726340127,0.0,0.0,0.0,1.0,13.034796478591318,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,177
178,0.4605626103689904,0.5325426691032918,0.7095276051505147,174.0252977621373,0.5394373896310096,0.0,0.0,0.0,1.0,12.914796478591317,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,178
179,0.5600202169438904,0.5410217074932224,0.676820798209536,205.06525952623116,0.4399797830561097,0.0,0.0,0.0,1.0,12.794796478591316,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,179
180,0.5128641768702016,0.5473013093642242,0.6330336428847618,177.6869953515235,0.4871358231297984,0.0,0.0,0.0,1.0,12.674796478591315,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,180
181,0.4143394938093129,0.5520174159015726,0.596200828048749,136.36461345724751,0.5856605061906871,0.0,0.0,0.0,1.0,12.554796478591314,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,181
182,0.4309294768846793,0.5589601613475934,0.5856072305093702,141.05662488457756,0.5690705231153207,0.0,0.0,0.0,1.0,12.434796478591313,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,182
183,0.4257046830624783,0.5638352725862515,0.5740218889987306,137.78093335067115,0.5742953169375217,0.0,0.0,0.0,1.0,12.314796478591312,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,183
184,0.4454655847846253,0.5674512270825607,0.5690246648604536,143.83805063471561,0.5545344152153747,0.0,0.0,0.0,1.0,12.19479647859131,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,184
185,0.4008004118589779,0.5687055348706183,0.5584478876396165,127.29116658197515,0.599199588141022,0.0,0.0,0.0,1.0,12.07479647859131,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,185
186,0.4077651614327955,0.5691208335182272,0.5538435877494075,128.52917907589708,0.5922348385672045,0.0,0.0,0.0,1.0,11.954796478591309,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,186
187,0.4124778286191615,0.57032381553818,0.5328581370659627,125.35270750219595,0.5875221713808385,0.0,0.0,0.0,1.0,11.834796478591308,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,187
188,0.4185322616830828,0.5715163376450121,0.5125680362947767,122.60526215635711,0.5814677383169172,0.0,0.0,0.0,1.0,11.714796478591307,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,188
189,0.4918378825715831,0.5759081356074498,0.4992423044155429,141.41209910722375,0.5081621174284169,0.0,0.0,0.0,1.0,11.594796478591306,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,189
190,0.4528783208665797,0.5809630373112957,0.4830952694468213,127.10505373116767,0.5471216791334202,0.0,0.0,0.0,1.0,11.474796478591305,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,190
191,0.5079913067002081,0.5865906324910772,0.4804257947825783,143.15869169263422,0.4920086932997919,0.0,0.0,0.0,1.0,11.354796478591304,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,191
192,0.4054915581074085,0.590208069873345,0.4872266026800775,116.60520941021812,0.5945084418925914,0.0,0.0,0.0,1.0,11.234796478591303,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,192
